country,year,primary_energy_consumption,renewables_consumption,fossil_fuel_consumption
Africa,1965,716.321,41.119,675.202
Africa,1966,750.133,45.863,704.27
Africa,1967,757.934,47.876,710.059
Africa,1968,800.596,56.0,744.596
Africa,1969,822.668,65.352,757.316
Africa,1970,893.035,81.703,811.332
Africa,1971,953.168,77.445,875.723
Africa,1972,1007.763,88.152,919.611
Africa,1973,1091.498,93.232,998.266
Africa,1974,1145.929,106.026,1039.903
Africa,1975,1214.47,112.081,1102.39
Africa,1976,1318.827,124.186,1194.641
Africa,1977,1391.542,136.414,1255.128
Africa,1978,1445.103,137.552,1307.552
Africa,1979,1574.47,147.205,1427.264
Africa,1980,1692.144,143.518,1548.626
Africa,1981,1898.898,149.116,1749.783
Africa,1982,2023.654,149.213,1874.441
Africa,1983,2083.755,134.53,1949.226
Africa,1984,2148.277,132.303,2004.837
Africa,1985,2235.495,147.081,2073.333
Africa,1986,2281.272,153.209,2103.083
Africa,1987,2354.796,147.033,2190.264
Africa,1988,2520.53,160.359,2330.396
Africa,1989,2524.404,168.263,2324.647
Africa,1990,2608.015,171.758,2412.283
Africa,1991,2605.118,181.864,2397.308
Africa,1992,2644.381,173.722,2444.305
Africa,1993,2651.666,170.55,2460.531
Africa,1994,2741.011,172.937,2540.559
Africa,1995,2851.845,179.844,2639.934
Africa,1996,2924.537,188.143,2702.982
Africa,1997,2986.506,193.099,2757.521
Africa,1998,3032.832,202.477,2791.762
Africa,1999,3125.787,214.386,2874.976
Africa,2000,3196.057,230.21,2928.931
Africa,2001,3310.455,246.173,3034.063
Africa,2002,3353.255,257.26,3062.41
Africa,2003,3515.312,249.77,3230.302
Africa,2004,3774.621,263.471,3474.193
Africa,2005,3785.477,266.062,3488.385
Africa,2006,3858.375,276.305,3554.694
Africa,2007,4006.39,282.741,3692.942
Africa,2008,4245.486,287.071,3923.35
Africa,2009,4317.645,294.062,3989.264
Africa,2010,4454.202,317.542,4100.631
Africa,2011,4492.596,326.136,4132.307
Africa,2012,4674.143,327.061,4312.962
Africa,2013,4807.251,345.624,4424.736
Africa,2014,4939.468,371.234,4532.374
Africa,2015,5045.052,379.767,4633.663
Africa,2016,5186.279,384.006,4763.673
Africa,2017,5359.562,409.575,4913.742
Africa,2018,5491.605,439.633,5022.572
Africa,2019,5610.236,468.809,5107.906
Africa,2020,5317.983,500.736,4792.29
Africa,2021,5765.107,527.635,5206.449
Africa,2022,5819.716,541.128,5253.319
Africa,2023,5797.068,569.63,5205.247
Africa (EI),1965,716.321,41.119,675.202
Africa (EI),1966,750.133,45.863,704.27
Africa (EI),1967,757.935,47.876,710.059
Africa (EI),1968,800.596,56.0,744.596
Africa (EI),1969,822.668,65.352,757.316
Africa (EI),1970,893.035,81.703,811.332
Africa (EI),1971,953.168,77.445,875.723
Africa (EI),1972,1007.763,88.152,919.611
Africa (EI),1973,1091.498,93.232,998.266
Africa (EI),1974,1145.929,106.026,1039.903
Africa (EI),1975,1214.471,112.081,1102.39
Africa (EI),1976,1318.827,124.186,1194.641
Africa (EI),1977,1391.542,136.414,1255.128
Africa (EI),1978,1445.103,137.552,1307.552
Africa (EI),1979,1574.47,147.205,1427.264
Africa (EI),1980,1692.144,143.518,1548.626
Africa (EI),1981,1898.898,149.116,1749.783
Africa (EI),1982,2023.654,149.213,1874.441
Africa (EI),1983,2083.755,134.53,1949.226
Africa (EI),1984,2148.277,132.303,2004.837
Africa (EI),1985,2235.495,147.081,2073.333
Africa (EI),1986,2281.272,153.209,2103.083
Africa (EI),1987,2354.796,147.033,2190.264
Africa (EI),1988,2520.53,160.359,2330.396
Africa (EI),1989,2524.405,168.263,2324.647
Africa (EI),1990,2608.015,171.758,2412.283
Africa (EI),1991,2605.118,181.864,2397.308
Africa (EI),1992,2644.381,173.722,2444.305
Africa (EI),1993,2651.666,170.55,2460.531
Africa (EI),1994,2741.011,172.937,2540.559
Africa (EI),1995,2851.845,179.844,2639.934
Africa (EI),1996,2924.537,188.143,2702.982
Africa (EI),1997,2986.506,193.099,2757.521
Africa (EI),1998,3032.832,202.477,2791.762
Africa (EI),1999,3125.787,214.386,2874.976
Africa (EI),2000,3196.057,230.21,2928.931
Africa (EI),2001,3310.455,246.173,3034.063
Africa (EI),2002,3353.255,257.26,3062.41
Africa (EI),2003,3515.312,249.77,3230.302
Africa (EI),2004,3774.621,263.471,3474.193
Africa (EI),2005,3785.477,266.062,3488.385
Africa (EI),2006,3858.375,276.305,3554.694
Africa (EI),2007,4006.39,282.741,3692.942
Africa (EI),2008,4245.486,287.071,3923.35
Africa (EI),2009,4317.645,294.062,3989.264
Africa (EI),2010,4454.202,317.542,4100.632
Africa (EI),2011,4492.596,326.136,4132.307
Africa (EI),2012,4674.143,327.061,4312.962
Africa (EI),2013,4807.251,345.624,4424.736
Africa (EI),2014,4939.467,371.234,4532.374
Africa (EI),2015,5045.052,379.767,4633.663
Africa (EI),2016,5186.279,384.006,4763.673
Africa (EI),2017,5359.562,409.575,4913.742
Africa (EI),2018,5491.605,439.633,5022.572
Africa (EI),2019,5610.236,468.809,5107.906
Africa (EI),2020,5317.983,500.736,4792.29
Africa (EI),2021,5765.107,527.635,5206.449
Africa (EI),2022,5819.716,541.128,5253.319
Africa (EI),2023,5797.069,569.63,5205.247
Algeria,1965,24.833,1.183,23.65
Algeria,1966,29.833,1.05,28.783
Algeria,1967,28.247,1.212,27.035
Algeria,1968,30.345,1.665,28.68
Algeria,1969,33.539,1.067,32.472
Algeria,1970,36.759,1.715,35.044
Algeria,1971,39.733,0.976,38.757
Algeria,1972,44.648,1.464,43.184
Algeria,1973,53.251,2.224,51.027
Algeria,1974,58.909,1.47,57.439
Algeria,1975,70.37,0.97,69.4
Algeria,1976,82.102,1.15,80.952
Algeria,1977,90.213,0.795,89.417
Algeria,1978,113.361,0.739,112.622
Algeria,1979,148.54,0.86,147.68
Algeria,1980,177.143,0.76,176.383
Algeria,1981,215.186,1.082,214.104
Algeria,1982,248.112,1.416,246.696
Algeria,1983,270.967,0.695,270.272
Algeria,1984,260.196,1.337,258.86
Algeria,1985,262.297,1.91,260.386
Algeria,1986,277.491,0.739,276.751
Algeria,1987,285.168,1.476,283.693
Algeria,1988,305.422,0.541,304.881
Algeria,1989,297.068,0.668,296.4
Algeria,1990,314.974,0.399,314.575
Algeria,1991,312.095,0.866,311.229
Algeria,1992,320.227,0.588,319.638
Algeria,1993,297.995,1.044,296.951
Algeria,1994,301.921,0.491,301.43
Algeria,1995,313.145,0.571,312.574
Algeria,1996,309.925,0.399,309.526
Algeria,1997,297.86,0.222,297.638
Algeria,1998,308.349,0.636,307.713
Algeria,1999,311.434,0.6,310.834
Algeria,2000,299.946,0.16,299.786
Algeria,2001,310.813,0.203,310.61
Algeria,2002,321.951,0.166,321.784
Algeria,2003,336.922,0.769,336.154
Algeria,2004,349.778,0.723,349.055
Algeria,2005,366.272,1.59,364.681
Algeria,2006,379.22,0.619,378.601
Algeria,2007,399.64,0.639,399.001
Algeria,2008,423.557,0.795,422.762
Algeria,2009,448.859,0.955,447.904
Algeria,2010,438.995,0.505,438.489
Algeria,2011,464.488,1.093,463.396
Algeria,2012,507.672,1.14,506.532
Algeria,2013,536.977,0.348,536.629
Algeria,2014,585.613,0.688,584.925
Algeria,2015,617.518,0.598,616.92
Algeria,2016,616.996,0.9,616.096
Algeria,2017,623.795,1.541,622.254
Algeria,2018,669.62,1.931,667.688
Algeria,2019,694.349,2.048,692.301
Algeria,2020,648.899,1.949,646.949
Algeria,2021,707.627,1.789,705.838
Algeria,2022,734.191,1.775,732.416
Algeria,2023,705.003,1.906,703.097
Argentina,1965,328.528,3.623,324.905
Argentina,1966,339.175,3.669,335.505
Argentina,1967,349.032,3.757,345.275
Argentina,1968,360.844,4.429,356.416
Argentina,1969,372.911,3.972,368.939
Argentina,1970,353.487,4.784,348.703
Argentina,1971,374.742,4.76,369.981
Argentina,1972,379.448,4.686,374.762
Argentina,1973,396.458,9.055,387.403
Argentina,1974,412.278,14.964,394.374
Argentina,1975,402.571,15.565,379.864
Argentina,1976,422.714,15.024,400.392
Argentina,1977,441.458,17.257,419.557
Argentina,1978,442.127,23.111,410.799
Argentina,1979,474.656,31.816,435.202
Argentina,1980,472.019,45.088,420.292
Argentina,1981,457.964,43.701,406.272
Argentina,1982,466.513,52.387,408.82
Argentina,1983,485.764,54.958,421.144
Argentina,1984,487.344,59.146,415.029
Argentina,1985,481.619,61.454,403.804
Argentina,1986,508.885,62.582,430.098
Argentina,1987,531.837,65.133,448.359
Argentina,1988,540.738,45.514,478.772
Argentina,1989,521.441,39.333,467.809
Argentina,1990,513.022,52.802,439.559
Argentina,1991,521.347,47.343,451.996
Argentina,1992,559.309,57.086,482.131
Argentina,1993,577.843,70.589,485.263
Argentina,1994,608.761,81.002,504.392
Argentina,1995,628.236,78.751,529.436
Argentina,1996,657.128,67.189,568.775
Argentina,1997,664.755,83.187,558.979
Argentina,1998,688.425,79.044,588.233
Argentina,1999,696.066,64.209,611.693
Argentina,2000,698.777,85.832,595.418
Argentina,2001,682.524,108.769,553.856
Argentina,2002,654.474,106.339,531.831
Argentina,2003,701.506,101.063,579.387
Argentina,2004,744.817,90.76,632.297
Argentina,2005,790.507,101.106,670.516
Argentina,2006,830.543,111.707,697.754
Argentina,2007,865.645,91.872,754.091
Argentina,2008,877.178,91.641,765.599
Argentina,2009,852.511,100.577,730.004
Argentina,2010,883.969,102.984,761.782
Argentina,2011,909.091,99.221,792.928
Argentina,2012,943.706,96.039,830.823
Argentina,2013,981.398,107.369,857.796
Argentina,2014,979.858,108.166,857.357
Argentina,2015,996.94,108.6,870.15
Argentina,2016,992.424,100.947,870.194
Argentina,2017,991.397,108.847,867.003
Argentina,2018,984.346,111.543,855.356
Argentina,2019,927.358,110.459,795.546
Argentina,2020,869.829,107.077,737.523
Argentina,2021,958.463,108.643,824.284
Argentina,2022,1029.381,125.469,885.226
Argentina,2023,1019.741,143.806,853.593
Asia,1965,5371.029,422.89,4948.067
Asia,1966,5886.4,441.116,5443.627
Asia,1967,6122.304,412.315,5708.204
Asia,1968,6581.304,458.258,6120.083
Asia,1969,7549.391,475.71,7068.554
Asia,1970,8611.759,487.588,8107.46
Asia,1971,9383.342,533.209,8824.506
Asia,1972,10060.199,551.475,9478.627
Asia,1973,10853.22,512.858,10306.196
Asia,1974,11042.773,584.1,10396.168
Asia,1975,11584.045,629.358,10875.582
Asia,1976,12271.712,647.069,11518.939
Asia,1977,13024.872,636.324,12292.05
Asia,1978,13849.664,670.656,12989.639
Asia,1979,14534.988,727.479,13574.057
Asia,1980,14534.666,783.02,13476.989
Asia,1981,14743.7,839.84,13608.703
Asia,1982,15110.624,859.509,13905.928
Asia,1983,15988.266,903.676,14671.704
Asia,1984,17051.377,910.421,15644.347
Asia,1985,20033.611,1072.18,18350.756
Asia,1986,20859.691,1082.822,19127.303
Asia,1987,22153.617,1120.766,20263.871
Asia,1988,23659.52,1283.521,21650.354
Asia,1989,24755.385,1316.906,22680.932
Asia,1990,25672.076,1370.705,23486.611
Asia,1991,26721.428,1386.603,24464.652
Asia,1992,27916.607,1397.384,25625.891
Asia,1993,29102.895,1546.152,26566.801
Asia,1994,30599.727,1545.781,27997.145
Asia,1995,31855.648,1679.287,29011.318
Asia,1996,33262.73,1669.322,30362.801
Asia,1997,34237.883,1675.601,31253.16
Asia,1998,34301.84,1776.43,31163.203
Asia,1999,35393.363,1744.76,32263.5
Asia,2000,36862.414,1806.828,33631.031
Asia,2001,38113.672,1933.755,34746.152
Asia,2002,39979.625,1993.157,36525.598
Asia,2003,43105.566,2066.119,39748.078
Asia,2004,47302.645,2411.746,43418.66
Asia,2005,50936.59,2506.07,46903.18
Asia,2006,53862.973,2756.399,49548.699
Asia,2007,57129.203,2905.195,52738.93
Asia,2008,59011.031,3307.708,54270.5
Asia,2009,60291.379,3290.996,55510.648
Asia,2010,64216.043,3818.814,58837.961
Asia,2011,67480.969,3966.45,62228.543
Asia,2012,69836.461,4523.883,64400.422
Asia,2013,71646.883,5006.264,65723.398
Asia,2014,73630.586,5560.482,67087.688
Asia,2015,74994.586,5930.709,67962.938
Asia,2016,76099.789,6421.834,68453.742
Asia,2017,79071.023,6994.126,70791.961
Asia,2018,81961.859,7663.125,72870.516
Asia,2019,84384.469,8440.69,74285.656
Asia,2020,84028.445,9025.625,73325.141
Asia,2021,88339.539,9916.475,76589.516
Asia,2022,87592.508,10856.01,74816.805
Asia,2023,91422.266,11523.428,77848.156
Asia Pacific (EI),1965,5251.795,466.325,4785.399
Asia Pacific (EI),1966,5757.876,484.717,5271.502
Asia Pacific (EI),1967,5985.971,456.169,5528.018
Asia Pacific (EI),1968,6424.734,502.086,5919.686
Asia Pacific (EI),1969,7366.66,519.663,6841.87
Asia Pacific (EI),1970,8434.379,539.492,7878.177
Asia Pacific (EI),1971,9170.402,594.864,8549.913
Asia Pacific (EI),1972,9804.582,611.692,9162.794
Asia Pacific (EI),1973,10537.671,579.017,9924.488
Asia Pacific (EI),1974,10709.332,652.713,9994.113
Asia Pacific (EI),1975,11246.55,696.189,10471.255
Asia Pacific (EI),1976,11812.646,698.394,11008.549
Asia Pacific (EI),1977,12431.662,680.096,11655.066
Asia Pacific (EI),1978,13190.156,710.519,12290.266
Asia Pacific (EI),1979,13705.204,771.731,12700.021
Asia Pacific (EI),1980,13749.844,824.552,12650.634
Asia Pacific (EI),1981,13842.26,878.227,12668.878
Asia Pacific (EI),1982,14014.369,885.642,12783.539
Asia Pacific (EI),1983,14704.323,941.446,13349.992
Asia Pacific (EI),1984,15537.507,946.801,14094.096
Asia Pacific (EI),1985,16369.249,1011.056,14762.467
Asia Pacific (EI),1986,17030.414,1038.081,15350.579
Asia Pacific (EI),1987,18092.826,1035.366,16300.772
Asia Pacific (EI),1988,19372.562,1144.227,17516.346
Asia Pacific (EI),1989,20390.514,1228.848,18408.033
Asia Pacific (EI),1990,21145.449,1248.956,19081.734
Asia Pacific (EI),1991,22175.537,1283.903,20022.99
Asia Pacific (EI),1992,23191.465,1258.144,21041.305
Asia Pacific (EI),1993,24436.188,1372.891,22074.619
Asia Pacific (EI),1994,25750.285,1392.503,23302.059
Asia Pacific (EI),1995,26974.637,1527.111,24283.572
Asia Pacific (EI),1996,28253.389,1498.431,25531.195
Asia Pacific (EI),1997,29128.199,1518.338,26306.158
Asia Pacific (EI),1998,29093.342,1616.832,26119.059
Asia Pacific (EI),1999,30163.701,1610.638,27173.854
Asia Pacific (EI),2000,31376.41,1687.358,28270.184
Asia Pacific (EI),2001,32403.441,1825.713,29149.562
Asia Pacific (EI),2002,33947.703,1848.382,30644.844
Asia Pacific (EI),2003,36778.18,1896.975,33595.398
Asia Pacific (EI),2004,40414.238,2213.025,36735.062
Asia Pacific (EI),2005,43638.211,2317.801,39800.531
Asia Pacific (EI),2006,46183.641,2552.58,42080.395
Asia Pacific (EI),2007,49043.238,2724.853,44840.242
Asia Pacific (EI),2008,50429.258,3186.896,45816.168
Asia Pacific (EI),2009,51573.234,3172.701,46917.484
Asia Pacific (EI),2010,54844.504,3631.28,49660.582
Asia Pacific (EI),2011,57602.621,3799.005,52524.672
Asia Pacific (EI),2012,59451.547,4322.379,54226.91
Asia Pacific (EI),2013,61056.801,4804.253,55352.625
Asia Pacific (EI),2014,62615.578,5415.146,56235.008
Asia Pacific (EI),2015,63710.027,5720.797,56904.531
Asia Pacific (EI),2016,64316.375,6190.871,56924.039
Asia Pacific (EI),2017,66972.805,6748.261,58964.07
Asia Pacific (EI),2018,69767.766,7436.841,60925.453
Asia Pacific (EI),2019,72048.648,8047.846,62364.453
Asia Pacific (EI),2020,71759.93,8690.064,61419.18
Asia Pacific (EI),2021,75598.438,9653.463,64151.812
Asia Pacific (EI),2022,77446.07,10560.96,65039.266
Asia Pacific (EI),2023,81048.219,11192.784,67908.492
Australia,1965,425.76,23.683,402.077
Australia,1966,446.102,22.626,423.476
Australia,1967,473.093,23.416,449.677
Australia,1968,501.694,24.41,477.284
Australia,1969,522.428,26.576,495.852
Australia,1970,570.102,30.908,539.194
Australia,1971,598.808,34.867,563.941
Australia,1972,626.095,35.057,591.038
Australia,1973,669.356,37.408,631.948
Australia,1974,711.901,42.394,669.507
Australia,1975,723.9,45.584,678.316
Australia,1976,749.088,43.398,705.69
Australia,1977,785.969,41.419,744.55
Australia,1978,811.221,44.688,766.533
Australia,1979,841.291,43.46,797.832
Australia,1980,844.247,41.05,803.197
Australia,1981,857.794,42.292,815.502
Australia,1982,849.919,39.409,810.51
Australia,1983,841.572,37.225,804.346
Australia,1984,871.355,40.221,831.134
Australia,1985,896.293,42.678,853.616
Australia,1986,912.411,42.943,869.469
Australia,1987,937.538,41.756,895.782
Australia,1988,981.314,44.72,936.594
Australia,1989,1029.713,44.734,984.979
Australia,1990,1051.079,46.068,1005.011
Australia,1991,1043.94,48.6,995.34
Australia,1992,1060.42,49.313,1011.107
Australia,1993,1084.443,50.644,1033.799
Australia,1994,1125.551,50.046,1075.505
Australia,1995,1154.299,48.939,1105.36
Australia,1996,1188.137,50.336,1137.8
Australia,1997,1217.288,50.467,1166.821
Australia,1998,1246.33,50.324,1196.007
Australia,1999,1297.347,52.01,1245.338
Australia,2000,1305.259,52.065,1253.194
Australia,2001,1315.385,50.915,1264.47
Australia,2002,1341.745,52.75,1288.995
Australia,2003,1360.862,54.638,1306.224
Australia,2004,1404.444,56.691,1347.753
Australia,2005,1410.35,60.836,1349.514
Australia,2006,1470.838,62.267,1408.571
Australia,2007,1506.167,59.896,1446.271
Australia,2008,1531.745,56.389,1475.357
Australia,2009,1509.545,59.178,1450.366
Australia,2010,1508.839,65.073,1443.765
Australia,2011,1558.602,88.66,1469.942
Australia,2012,1536.113,87.377,1448.736
Australia,2013,1555.586,101.302,1454.284
Australia,2014,1566.458,93.464,1472.994
Australia,2015,1601.271,100.613,1500.658
Australia,2016,1606.503,115.454,1491.048
Australia,2017,1601.646,108.02,1493.625
Australia,2018,1624.987,134.563,1490.425
Australia,2019,1679.844,149.098,1530.746
Australia,2020,1585.126,171.958,1413.168
Australia,2021,1589.075,205.371,1383.704
Australia,2022,1661.016,231.186,1429.83
Australia,2023,1672.456,250.576,1421.88
Austria,1965,189.498,47.557,141.941
Austria,1966,198.325,51.248,147.077
Austria,1967,200.363,52.333,148.031
Austria,1968,214.242,53.773,160.469
Austria,1969,221.926,49.435,172.492
Austria,1970,254.149,62.953,191.196
Austria,1971,253.084,49.737,203.347
Austria,1972,261.826,51.119,210.707
Austria,1973,281.51,56.801,224.709
Austria,1974,282.962,67.16,215.802
Austria,1975,281.064,70.362,210.701
Austria,1976,290.894,60.812,230.081
Austria,1977,291.598,73.691,217.907
Austria,1978,304.19,73.75,230.44
Austria,1979,322.217,83.082,239.135
Austria,1980,320.874,86.078,234.796
Austria,1981,311.52,91.215,220.305
Austria,1982,301.322,91.36,209.962
Austria,1983,300.495,90.502,209.993
Austria,1984,297.469,79.394,218.075
Austria,1985,315.806,94.013,221.793
Austria,1986,316.435,95.493,220.942
Austria,1987,334.019,107.533,226.486
Austria,1988,329.132,107.736,221.396
Austria,1989,330.973,107.264,223.709
Austria,1990,333.824,96.819,237.005
Austria,1991,349.4,96.891,252.509
Austria,1992,344.792,107.289,237.503
Austria,1993,352.443,112.886,239.557
Austria,1994,349.408,109.454,239.954
Austria,1995,367.661,115.542,252.12
Austria,1996,375.696,106.268,269.428
Austria,1997,380.569,112.291,268.277
Austria,1998,389.247,115.913,273.334
Austria,1999,392.804,125.601,267.202
Austria,2000,395.171,128.793,266.378
Austria,2001,406.593,124.694,281.9
Austria,2002,406.828,122.887,283.941
Austria,2003,407.704,102.896,304.807
Austria,2004,422.457,115.225,307.233
Austria,2005,431.35,118.601,312.749
Austria,2006,425.865,119.788,306.076
Austria,2007,420.066,127.069,292.997
Austria,2008,424.56,130.646,293.914
Austria,2009,409.772,138.428,271.345
Austria,2010,421.558,132.009,289.55
Austria,2011,395.869,119.971,275.898
Austria,2012,414.402,148.198,266.205
Austria,2013,410.852,145.067,265.785
Austria,2014,394.889,143.357,251.532
Austria,2015,396.383,135.858,260.525
Austria,2016,409.651,144.627,265.025
Austria,2017,417.569,143.877,273.692
Austria,2018,408.402,140.335,268.067
Austria,2019,427.96,151.81,276.15
Austria,2020,400.144,152.81,247.334
Austria,2021,406.033,145.502,260.531
Austria,2022,379.769,136.97,242.799
Austria,2023,384.811,154.233,230.578
Azerbaijan,1985,234.951,3.881,231.069
Azerbaijan,1986,252.834,2.378,250.456
Azerbaijan,1987,245.023,2.378,242.644
Azerbaijan,1988,245.204,2.065,243.14
Azerbaijan,1989,250.052,2.065,247.987
Azerbaijan,1990,260.551,4.903,255.649
Azerbaijan,1991,250.351,5.202,245.149
Azerbaijan,1992,214.394,5.167,209.227
Azerbaijan,1993,185.98,7.174,178.807
Azerbaijan,1994,170.865,5.411,165.453
Azerbaijan,1995,160.648,4.601,156.047
Azerbaijan,1996,131.741,4.545,127.196
Azerbaijan,1997,126.155,5.062,121.092
Azerbaijan,1998,126.645,5.769,120.876
Azerbaijan,1999,126.353,4.453,121.9
Azerbaijan,2000,132.055,4.536,127.519
Azerbaijan,2001,127.227,3.822,123.405
Azerbaijan,2002,125.609,5.896,119.713
Azerbaijan,2003,136.035,7.163,128.872
Azerbaijan,2004,153.898,7.939,145.959
Azerbaijan,2005,166.837,8.617,158.22
Azerbaijan,2006,164.092,7.165,156.927
Azerbaijan,2007,151.071,6.684,144.387
Azerbaijan,2008,151.163,6.272,144.891
Azerbaijan,2009,130.168,6.453,123.716
Azerbaijan,2010,128.439,9.567,118.872
Azerbaijan,2011,145.739,7.382,138.358
Azerbaijan,2012,150.091,4.993,145.098
Azerbaijan,2013,154.212,4.277,149.935
Azerbaijan,2014,157.241,3.813,153.428
Azerbaijan,2015,171.826,4.725,167.101
Azerbaijan,2016,170.192,5.679,164.513
Azerbaijan,2017,166.954,5.077,161.877
Azerbaijan,2018,176.167,5.259,170.907
Azerbaijan,2019,185.891,4.832,181.059
Azerbaijan,2020,184.929,3.505,181.424
Azerbaijan,2021,197.549,4.034,193.515
Azerbaijan,2022,210.286,4.864,205.422
